country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Aruba,,,,,,,,,,,,,,,,,,,5
Argentina,54.4k,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,187,261,279,285,386,432
Australia,49.5k,53.2k,49.5k,52.8k,55.8k,59.2k,64.1k,67.8k,70.5k,72.8k,73.6k,74.1k,73.9k,76.7k,83.4k,88.4k,93.2k,93.4k,98.7k
Austria,48.3k,49.6k,33.3k,31.1k,29.2k,27.2k,25.7k,23.8k,21.8k,19.5k,19.1k,19.1k,15.6k,14.2k,13.6k,12.8k,12.1k,11.8k,11.5k
Azerbaijan,,,,,,,,,,,,9,,,,,,,
Burundi,110,,121,,,9,129,129,14,15,70,64,60,,,,,,
Belgium,64.5k,73.6k,84.4k,82.4k,84.9k,95.5k,85.9k,86.1k,100k,81.5k,87.8k,88.8k,88.9k,85.7k,88.8k,85.4k,,83.8k,87.9k
Bangladesh,891,934,1010,952,838,704,580,597,595,559,645,694,,,,,,,
Bulgaria,,25k,27.2k,29.9k,30.9k,25.1k,26.6k,1590,824,837,2140,1860,2170,1910,1750,2140,1460,2160,2130
Bahamas,,,54,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,79,79,42,
Belarus,,,,,,,,,,237,641,1260,1630,,,,,,
Belize,,,,,1,,,,,,,,,,,,,,
Bolivia,,1670,,,,,,,,,,580,,,,,,,
Brazil,,45.5k,46.4k,,,,,,,,17.6k,15.8k,15.4k,,,22.4k,,27.3k,29.3k
Barbados,,,,,,,,,,,,,,,,9,,,
Brunei,,,,,,,,,,1380,,,,,,,,,
Canada,405k,396k,237k,371k,358k,346k,339k,333k,331k,320k,321k,301k,259k,247k,236k,209k,197k,183k,174k
Switzerland,79.1k,82.3k,86.8k,88.9k,92.2k,95.9k,99.3k,101k,102k,104k,105k,99.2k,,94.6k,87.5k,87k,87k,84.3k,84k
Czechoslovakia,,,108k,114k,119k,121k,125k,,18.6k,,,,,,,,,,
Chile,9660,9120,8560,8220,8080,7990,7880,7880,7760,,,7000,6300,20.3k,,,,,
China,,44,,518,,,,,,,,18.7k,20.5k,,,49.4k,34.9k,49.6k,65k
"Congo, Dem. Rep.",2440,,2490,,2640,,,,,,1720,615,644,,,,,,
Colombia,,,,,,,,,,,,,,,417,,,,
Costa Rica,,,,402,456,326,338,,,,,,,,,,,,
Cuba,1410,,,3,,549,340,388,170,,1170,762,1290,1400,,1430,,,
Cyprus,585,568,549,572,585,,517,688,727,,,,,,,,,,
Czech Republic,,,,,,,,,,15.2k,10.5k,6450,6220,6200,7000,7250,7790,8320,9270
Germany,,,,,,,,245k,253k,261k,275k,292k,316k,337k,355k,372k,377k,372k,377k
East Germany,75.1k,72.4k,74.2k,79.7k,85.2k,91k,118k,,,,,,,,,,,,
West Germany,138k,178k,142k,213k,227k,219k,233k,,,,,,,,,,,,
Dominica,,,,,,,,,,,,42,,,,,,,
Denmark,,,9570,8390,9670,11k,11.8k,12.2k,14.2k,16.5k,19.2k,23k,26.4k,29.3k,,,,35.2k,37.7k
Dominican Republic,,,1310,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,2110,,1350,1370,,1500,1480,1350,1330
Ecuador,,,597,625,645,623,,342,372,371,280,90,159,,,,,,639
Egypt,,,,,,,,,,,,,7680,,,,,,
Spain,,,75.1k,,,,,,107k,17.4k,18.5k,95.7k,154k,198k,,179k,142k,101k,158k
Estonia,,,,,,,,,,,,,22,130,212,320,390,560,871
Ethiopia,,,,,,,,,,,,,,,,1,4,,
Finland,10.8k,11.3k,12.1k,13.1k,14.2k,15k,16.6k,16.6k,18.4k,18.7k,18.9k,19.2k,19.5k,19.9k,20.3k,,,,
Fiji,,328,141,,,,,,,,,,,,,,,,
France,253k,240k,267k,266k,267k,234k,250k,114k,296k,296k,314k,455k,315k,324k,326k,346k,371k,,358k
United Kingdom,223k,,,,,,,,,,,,,,,,313k,325k,326k
Georgia,,,,,,,,,,19,192,266,608,,961,728,1160,843,735
Ghana,730,,,,,,176,,,,,,,,,,,,
Greece,,,,,,,,,,6170,,5730,5180,,,,,,25.1k
Guatemala,,,,,1610,1460,1420,1390,1320,,,,,,,,,,
Guyana,432,355,367,,226,240,218,,,,,,,,,,,,
Honduras,772,351,,720,620,,509,441,465,,,115,101,,,198,375,639,747
Croatia,,,,,,,,,,,,25,306,,,,,1440,1720
Haiti,79,158,106,153,130,,,,,,,,,,,,,,
Hungary,16.3k,17.4k,18.7k,19.3k,19.4k,19.9k,,19.4k,,,,13.8k,11.4k,10.9k,10.9k,11.4k,11.4k,10.2k,10.8k
India,,7700,13.1k,14.9k,13.1k,13.8k,10.6k,11.1k,10k,9770,9310,,9450,,,8640,,,
Ireland,7790,7730,8140,8120,6960,6790,6510,6280,6110,6890,9390,12.2k,15.1k,18.5k,,23.2k,,36.9k,32.6k
Iran,,,,,,,,,,,,8470,,,,,,,
Iraq,808,804,783,854,911,913,,,1120,1120,1120,1120,1170,,,,,,
Iceland,228,192,237,226,250,290,324,317,339,314,296,286,267,261,275,248,237,249,245
Israel,9090,9270,9310,10.1k,10.3k,12.1k,10.2k,10.9k,11.8k,12.2k,12.1k,11.9k,12k,12k,12k,12k,,,
Jamaica,648,,,754,,,491,422,418,,,233,,,,,,,
Japan,440k,502k,562k,550k,531k,543k,590k,580k,602k,631k,652k,682k,831k,871k,936k,1M,1.04M,1.08M,1.1M
Kazakhstan,,,,,,,,,,325,1680,2960,4120,5340,5830,6660,3720,3950,
Kenya,1830,1930,2040,2140,2200,2270,,1780,,,,,384,136,,,,,
Kyrgyz Republic,,,,,,,,,,,93,216,355,488,579,501,446,315,304
Kiribati,,,,,,,,,,,,,,,,17,,,
South Korea,12k,12.9k,13.8k,14.9k,15.4k,16.9k,24.8k,28.3k,39.5k,47.7k,54.9k,63k,74.4k,,,,216k,245k,
Liberia,,,,,,,,490,,,,,,,,,,,
St. Lucia,73,,,,,,45,,,,,,25,,,,,69,
Sri Lanka,734,716,716,656,675,743,666,770,828,954,1500,1510,1710,1870,,,,,
Lesotho,,,,,,350,,,,,,15,,,,,,,
Lithuania,,,,,,,,,13,389,666,1120,1340,1300,1220,1140,1050,939,840
Luxembourg,17k,15.6k,15.4k,17.5k,17.7k,19.4k,21.9k,23.1k,,,27.8k,,,31.2k,30.7k,30.5k,29.6k,25.5k,
Latvia,,,,,,,,,,354,715,1300,1890,,2160,1880,1900,2130,
"Macao, China",,,,,,,,,33,35,39,42,46,,,,,,
Morocco,7220,,6890,,6010,6670,6620,,6590,6610,6620,6610,6590,,6330,,,,
Monaco,329,397,324,337,408,419,416,396,441,461,422,365,329,3910,241,6290,6520,9500,26k
Moldova,,,,,,,,,,,39,266,501,653,774,1010,1220,1200,842
Madagascar,,,,,,,,,,,,25,49,,,81,187,203,165
Mexico,40.3k,47.9k,40.6k,32.1k,32.5k,26.4k,23.2k,18.2k,18.7k,24.8k,17.9k,28.8k,32k,34.8k,36.8k,39k,20.4k,23.3k,31.9k
North Macedonia,,,,,,,,,,,236,257,352,431,360,378,434,377,349
Malta,97,93,83,73,77,617,622,134,,146,129,130,110,158,110,237,332,443,593
Mongolia,255,274,,400,409,460,497,61,122,172,233,318,443,552,,,,1180,163
Mauritius,186,187,176,154,203,209,212,142,120,119,116,114,136,113,96,,,,
Malawi,300,315,252,240,294,326,288,350,383,387,391,409,545,546,631,,817,907,995
Malaysia,,,,,,,,,2840,4120,5750,,,,,,,,
Namibia,,,,,,,1080,1150,,,,,,,,,,,
Nicaragua,818,835,819,,,,,,87,89,,179,,,,205,343,,
Netherlands,38.2k,44.3k,51.8k,57.7k,63k,69.3k,76.1k,81.6k,88.8k,94.4k,99.1k,103k,107k,112k,118k,121k,120k,122k,125k
Norway,12.3k,12.8k,12.9k,13.2k,13.6k,14.5k,15.3k,16.1k,16.6k,16.5k,16k,15.6k,15.3k,,,,,,
Nepal,,,,,,27,,,29,31,,,,,,,,,
Pakistan,,,,,,,,,,,6200,,26.4k,,,,,,
Panama,1180,1250,1360,1350,1400,1440,1470,1520,1550,1580,703,80,389,,,,414,,
Peru,4580,4130,3660,3690,2870,,1120,892,1150,,,,,,,1010,1180,,
Philippines,12.8k,13.2k,,,,,17.7k,17k,,,,,,,,,,,
Poland,22.9k,22.1k,21.2k,,22.3k,23.9k,,,,18.7k,16.3k,14.8k,14.5k,13.7k,13.6k,13.6k,13.8k,14.4k,14.3k
North Korea,,,21.4k,24k,26.6k,29.3k,32k,121,141,,,,,,,,,,
Portugal,3960,4690,8150,9490,9300,9820,10.4k,3730,6210,8630,10.3k,9480,9180,14.2k,,22.2k,22.6k,23.3k,29.1k
Paraguay,,,,,3250,836,780,,811,,,,,,,,,,
Romania,,108,22.5k,23.6k,26.8k,28k,26.3k,23.8k,22.9k,22.6k,21.6k,23.2k,22.7k,20.4k,20.1k,18.4k,15.6k,13.2k,11.6k
Russia,,,,,,,,,22.8k,44.3k,60.3k,76.2k,110k,155k,173k,191k,144k,150k,103k
Rwanda,96,113,114,116,122,123,81,82,69,,55,,,,,47,,,
Saudi Arabia,,,,,,,,,,,,,5,6,8,22,28,38,63
Serbia and Montenegro,,,,,,,,,5140,4420,4550,4110,3290,2690,2060,2240,2240,2200,1290
Singapore,,,,,,,,,,,,,,,,,,,36.9k
Solomon Islands,,97,101,107,109,101,,,,,,,,,,,,,
Sierra Leone,213,,,,,,,,,,,206,,,,,,,
El Salvador,,,,,,322,,,,258,349,,,,,,,,
Somalia,231,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,12.9k,2590,2250,2020,2250,2440,,,3570,3670
Slovenia,,,,,,,,,,412,905,1490,1610,2520,2910,3220,3410,3670,4370
Sweden,55.4k,61.2k,67k,71.1k,76k,37.5k,84.9k,53.3k,88.2k,89.8k,91.7k,93.4k,95.2k,96.8k,97.4k,98k,97.3k,,98.8k
Eswatini,311,341,,,,,,,,,,,,,,,,,
Seychelles,48,50,50,,50,50,,,,,,,,,,,,,
Thailand,42,86,141,175,237,393,,,655,,,,,,,,352,,
Tajikistan,,,,,,,,,,,27,70,115,181,177,222,281,,1360
Trinidad and Tobago,,,,,555,,,,873,964,1170,1140,1260,,,,,,
Tunisia,,,,,,4410,4460,4090,,1790,,1870,2040,,,,,,
Turkey,6020,6410,6690,6410,6020,6260,6280,6350,6370,,7420,8150,7800,11.9k,12.8k,21.2k,22k,19.7k,28.1k
Tanzania,,2410,,,2070,,,,,,,,,,,,,,
Uganda,28,1550,,1590,1610,1650,1680,1680,,,,,,,,,,,
Ukraine,,,,,,,,,226,2170,6690,7400,12k,18.8k,19.6k,16.3k,15k,22.7k,
Uruguay,1600,2670,2320,2230,2320,2040,,,,,,,1330,367,386,356,396,,553
United States,1.19M,1.14M,1.14M,1.15M,1.14M,1.15M,1.15M,,1.16M,1.13M,1.13M,1.11M,1.13M,1.11M,1.17M,1.24M,1.29M,1.39M,1.47M
USSR,10k,10.3k,10.1k,9790,9610,9440,9370,6960,,,,,,,,,,,
Uzbekistan,,,,,,,,,,17,,,421,1640,,727,2590,2480,881
Venezuela,,11k,,,,,,,,,,,,,,,,,
Vietnam,,23,23,,49,82,95,117,68,83,102,248,225,363,,,,,
Samoa,,17,,,,,,,,,,,41,,,,,,
Yugoslavia,,,5980,4470,5490,4530,7500,10.9k,,,,,,,,,,,
South Africa,,25.2k,,18.9k,17.7k,,,,,,,,,,,,,,
Zambia,,559,617,688,745,857,903,878,892,925,,1070,1300,,,1350,,1360,
Zimbabwe,2500,2540,2590,2530,2420,794,,1550,1620,1490,,,1660,,,,,419,
